,DATE,HourlyDryBulbTemperature,Date
12416,2019-01-23T00:51:00,31,2019-01-23
12417,2019-01-23T01:51:00,31,2019-01-23
12418,2019-01-23T02:51:00,31,2019-01-23
12419,2019-01-23T03:51:00,32,2019-01-23
12420,2019-01-23T04:51:00,32,2019-01-23
12421,2019-01-23T05:51:00,33,2019-01-23
12422,2019-01-23T06:51:00,32,2019-01-23
12423,2019-01-23T07:51:00,33,2019-01-23
12424,2019-01-23T08:51:00,34,2019-01-23
12427,2019-01-23T09:51:00,35,2019-01-23
12430,2019-01-23T10:51:00,36,2019-01-23
12431,2019-01-23T11:51:00,37,2019-01-23
12432,2019-01-23T12:51:00,40,2019-01-23
12433,2019-01-23T13:51:00,42,2019-01-23
12434,2019-01-23T14:51:00,45,2019-01-23
12435,2019-01-23T15:51:00,46,2019-01-23
12436,2019-01-23T16:51:00,43,2019-01-23
12437,2019-01-23T17:51:00,44,2019-01-23
12438,2019-01-23T18:51:00,44,2019-01-23
12439,2019-01-23T19:51:00,46,2019-01-23
12440,2019-01-23T20:51:00,48,2019-01-23
12441,2019-01-23T21:51:00,51,2019-01-23
12442,2019-01-23T22:51:00,52,2019-01-23
12444,2019-01-23T23:51:00,51,2019-01-23
12446,2019-01-24T00:51:00,53,2019-01-24
12447,2019-01-24T01:51:00,55,2019-01-24
12448,2019-01-24T02:51:00,55,2019-01-24
12449,2019-01-24T03:51:00,52,2019-01-24
12451,2019-01-24T04:51:00,52,2019-01-24
12453,2019-01-24T05:51:00,51,2019-01-24
12458,2019-01-24T06:51:00,52,2019-01-24
12461,2019-01-24T07:51:00,54,2019-01-24
12464,2019-01-24T08:51:00,54,2019-01-24
12468,2019-01-24T09:51:00,54,2019-01-24
12471,2019-01-24T10:51:00,55,2019-01-24
12477,2019-01-24T11:51:00,57,2019-01-24
12482,2019-01-24T12:51:00,59,2019-01-24
12483,2019-01-24T13:51:00,59,2019-01-24
12488,2019-01-24T14:51:00,55,2019-01-24
12493,2019-01-24T15:51:00,53,2019-01-24
12496,2019-01-24T16:51:00,47,2019-01-24
12498,2019-01-24T17:51:00,46,2019-01-24
12500,2019-01-24T18:51:00,41,2019-01-24
12501,2019-01-24T19:51:00,40,2019-01-24
12502,2019-01-24T20:51:00,40,2019-01-24
12503,2019-01-24T21:51:00,38,2019-01-24
12504,2019-01-24T22:51:00,36,2019-01-24
12505,2019-01-24T23:51:00,35,2019-01-24
12507,2019-01-25T00:51:00,35,2019-01-25
12508,2019-01-25T01:51:00,35,2019-01-25
12509,2019-01-25T02:51:00,35,2019-01-25
12510,2019-01-25T03:51:00,34,2019-01-25
12511,2019-01-25T04:51:00,34,2019-01-25
12512,2019-01-25T05:51:00,34,2019-01-25
12513,2019-01-25T06:51:00,34,2019-01-25
12514,2019-01-25T07:51:00,35,2019-01-25
12515,2019-01-25T08:51:00,35,2019-01-25
12516,2019-01-25T09:51:00,35,2019-01-25
12517,2019-01-25T10:51:00,37,2019-01-25
12518,2019-01-25T11:51:00,38,2019-01-25
12519,2019-01-25T12:51:00,39,2019-01-25
12520,2019-01-25T13:51:00,38,2019-01-25
12521,2019-01-25T14:51:00,37,2019-01-25
12522,2019-01-25T15:51:00,36,2019-01-25
12523,2019-01-25T16:51:00,35,2019-01-25
12524,2019-01-25T17:51:00,34,2019-01-25
12525,2019-01-25T18:51:00,34,2019-01-25
12526,2019-01-25T19:51:00,33,2019-01-25
12527,2019-01-25T20:51:00,32,2019-01-25
12528,2019-01-25T21:51:00,30,2019-01-25
12529,2019-01-25T22:51:00,29,2019-01-25
12530,2019-01-25T23:51:00,28,2019-01-25
12532,2019-01-26T00:51:00,27,2019-01-26
12533,2019-01-26T01:51:00,26,2019-01-26
12534,2019-01-26T02:51:00,26,2019-01-26
12535,2019-01-26T03:51:00,25,2019-01-26
12536,2019-01-26T04:51:00,25,2019-01-26
12537,2019-01-26T05:51:00,24,2019-01-26
12538,2019-01-26T06:51:00,24,2019-01-26
12539,2019-01-26T07:51:00,24,2019-01-26
12540,2019-01-26T08:51:00,25,2019-01-26
12541,2019-01-26T09:51:00,26,2019-01-26
12542,2019-01-26T10:51:00,28,2019-01-26
12543,2019-01-26T11:51:00,31,2019-01-26
12544,2019-01-26T12:51:00,33,2019-01-26
12545,2019-01-26T13:51:00,34,2019-01-26
12546,2019-01-26T14:51:00,34,2019-01-26
12547,2019-01-26T15:51:00,34,2019-01-26
12548,2019-01-26T16:51:00,33,2019-01-26
12549,2019-01-26T17:51:00,33,2019-01-26
12550,2019-01-26T18:51:00,34,2019-01-26
12551,2019-01-26T19:51:00,33,2019-01-26
12552,2019-01-26T20:51:00,34,2019-01-26
12553,2019-01-26T21:51:00,34,2019-01-26
12554,2019-01-26T22:51:00,33,2019-01-26
12555,2019-01-26T23:51:00,33,2019-01-26
12557,2019-01-27T00:51:00,33,2019-01-27
12558,2019-01-27T01:51:00,33,2019-01-27
12559,2019-01-27T02:51:00,34,2019-01-27
12560,2019-01-27T03:51:00,34,2019-01-27
12562,2019-01-27T04:51:00,35,2019-01-27
12563,2019-01-27T05:51:00,36,2019-01-27
12565,2019-01-27T06:51:00,36,2019-01-27
12566,2019-01-27T07:51:00,39,2019-01-27
12567,2019-01-27T08:51:00,41,2019-01-27
12568,2019-01-27T09:51:00,43,2019-01-27
12569,2019-01-27T10:51:00,45,2019-01-27
12570,2019-01-27T11:51:00,47,2019-01-27
12571,2019-01-27T12:51:00,47,2019-01-27
12572,2019-01-27T13:51:00,48,2019-01-27
12573,2019-01-27T14:51:00,48,2019-01-27
12574,2019-01-27T15:51:00,47,2019-01-27
12575,2019-01-27T16:51:00,46,2019-01-27
12576,2019-01-27T17:51:00,46,2019-01-27
12577,2019-01-27T18:51:00,45,2019-01-27
12578,2019-01-27T19:51:00,45,2019-01-27
12579,2019-01-27T20:51:00,43,2019-01-27
12580,2019-01-27T21:51:00,,2019-01-27
12581,2019-01-27T22:51:00,40,2019-01-27
12582,2019-01-27T23:51:00,38,2019-01-27
12584,2019-01-28T00:51:00,37,2019-01-28
12585,2019-01-28T01:51:00,36,2019-01-28
12586,2019-01-28T02:51:00,34,2019-01-28
12587,2019-01-28T03:51:00,31,2019-01-28
12588,2019-01-28T04:51:00,30,2019-01-28
12589,2019-01-28T05:51:00,29,2019-01-28
12590,2019-01-28T06:51:00,27,2019-01-28
12591,2019-01-28T07:51:00,26,2019-01-28
